timestep_1,timestep_2,region_1,region_2,technology_1,technology_2,technology_3,parameter,value,comment,source
20th,,East,"all(EastNorth,EastSouth)",gasBoiler,,,capaConvResi,8,pre-existing conversion capacities in GW,own arbitrary assumption
10th,,West,"all(WestNorth,WestSouth)",gasBoiler,,,capaConvResi,14,pre-existing conversion capacities in GW,own arbitrary assumption
20th,,West,"all(WestNorth,WestSouth)",gasBoiler,,,capaConvResi,6,pre-existing conversion capacities in GW,own arbitrary assumption
,all,West,WestSouth,hydro,,,capaStInResi,8,pre-existing storage input capacities in GW,own assumption
,,,,hydro,,,stOutToStIn,1,fixes ratio between storage input and output capacity,own assumption
,,,,hydro,,,sizeToStIn,7,fixes ratio between storage size and input capacity (also known as E-to-P ratio),"based on Acatech (2015), Technologiesteckbrief Energiespeicher"
,,,,solar,rooftop,photovoltaic,stOutToStIn,1,fixes ratio between storage input and output capacity,own assumption
,,,,solar,rooftop,solarThermal,stOutToStIn,1,fixes ratio between storage input and output capacity,own assumption
,all,East,EastNorth,gasStorage,,,capaStInResi,100,pre-existing storage input capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,EastSouth,gasStorage,,,capaStInResi,140,pre-existing storage input capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,EastNorth,gasStorage,,,capaStOutResi,90,pre-existing storage output capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,EastSouth,gasStorage,,,capaStOutResi,126,pre-existing storage output capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,EastNorth,gasStorage,,,capaStSizeResi,100000,pre-existing storage capacities (relating to size) in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,EastSouth,gasStorage,,,capaStSizeResi,130000,pre-existing storage capacities (relating to size) in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestNorth,gasStorage,,,capaStInResi,50,pre-existing storage input capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestSouth,gasStorage,,,capaStInResi,60,pre-existing storage input capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestNorth,gasStorage,,,capaStOutResi,45,pre-existing storage output capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestSouth,gasStorage,,,capaStOutResi,54,pre-existing storage output capacities in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestNorth,gasStorage,,,capaStSizeResi,70000,pre-existing storage capacities (relating to size) in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,West,WestSouth,gasStorage,,,capaStSizeResi,80000,pre-existing storage capacities (relating to size) in GW,"own assumption that roughly comply with GIE (2018), Storage Database"
,all,East,,heatpump,ground,individual,capaConvUp,9,"upper limit in GW for conversion capacity, always relates to input capacity!",own assumption
,all,East,,heatpump,air,,capaConvUp,7,"upper limit in GW for conversion capacity, always relates to input capacity!",own assumption
10th,,,,gasPlant,ocgt,hydrogenFueled,expConvFix,0,prevent investment into hydrogen fueled gas turbines in 2020 and 2025,
,all,West,,heatpump,ground,individual,capaConvUp,9,"upper limit in GW for conversion capacity, always relates to input capacity!",own assumption
,all,West,,heatpump,air,,capaConvUp,7,"upper limit in GW for conversion capacity, always relates to input capacity!",own assumption
