timestep_1,technology_1,technology_2,technology_3,parameter_1,value_1,parameter_2,value_2,comment,source
30th,methanation,,,lifeConv,30,costExpConv,1206.362945,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Energiespeicher"
30th,solar,rooftop,photovoltaic,lifeConv,25,costExpConv,664.81,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
30th,solar,rooftop,photovoltaic,lifeStIn,13,costExpStIn,50,lifetime in years and expansion costs in M€/GW for storage input capacity,"own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
30th,solar,rooftop,photovoltaic,lifeStSize,13,costExpStSize,187.5,lifetime in years and expansion costs in M€/GWh for storage capacity (relating to size),"own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
30th,solar,rooftop,solarThermal,lifeConv,25,costExpConv,930,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
30th,solar,,openspace,lifeConv,25,costExpConv,357.98,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
30th,wind,onshore,,lifeConv,25,costExpConv,1302.79,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
,autoReforming,,,costOprConv,29.292,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Jacobs (2018), Hydrogen supply chain evidence base"
,coalPlant,,,costOprConv,163.3333333,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,districtHeatStorage,,,lifeStSize,20,costExpStSize,20,lifetime in years and expansion costs in M€/GWh for storage capacity (relating to size),"Acatech (2015), Technologiesteckbrief Energiespeicher"
,districtHeatStorage,,,costOprStSize,0.014,,,operating costs of storage capacity (relating to size),"Acatech (2015), Technologiesteckbrief Energiespeicher"
,electrolysis,,,costOprConv,24,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Energiespeicher"
,gasBoiler,,,lifeConv,20,costExpConv,861.1111111,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!",own data
,gasBoiler,,,costOprConv,19.4,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!",own data
,gasPlant,ccgt,CHP,lifeConv,32,costExpConv,1411.764706,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ccgt,CHP,costOprConv,34.70588235,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ccgt,noCHP,lifeConv,32,costExpConv,1093.75,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ccgt,noCHP,costOprConv,38.28125,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ocgt,gasFueled,lifeConv,50,costExpConv,597,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ocgt,gasFueled,costOprConv,17.93478261,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ocgt,hydrogenFueled,lifeConv,20,costExpConv,680,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,gasPlant,ocgt,hydrogenFueled,costOprConv,57,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Konventionelle Kraftwerke"
,heatpump,,,costOprConv,14.6,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","European Comission (2014), Energy Technology Reference Indicator"
,methanation,,,costOprConv,32.88999691,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","Acatech (2015), Technologiesteckbrief Energiespeicher"
,methanation,,,costVarUse,561,,,"variable costs in €/MWh of methanation, reflects costs for capturing carbon","based on assumed costs for captured carbon of 100 €/tCO2, converted into €/MWh_CH4"
,solar,rooftop,solarThermal,lifeStIn,40,costExpStIn,2,lifetime in years and expansion costs in M€/GW for storage input capacity,"own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
,solar,rooftop,solarThermal,lifeStSize,40,costExpStSize,30,lifetime in years and expansion costs in M€/GWh for storage capacity (relating to size),"own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
,wind,offshore,,lifeConv,25,costExpConv,2093,"lifetime in years and expansion costs in M€/GW of conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
,wind,,,costOprConv,30,,,"operating costs in M€/GW/a for conversion capacity, refers to input capacity!","own calculations based on Fraunhofer (2018), Stromgestehungskosten Erneuerbare Energien"
